user,timestamp,comx,comy,comz,headx,heady,headz,neckx,necky,neckz,leftshoulderx,leftshouldery,leftshoulderz,leftelbowx,leftelbowy,leftelbowz,lefthandx,lefthandy,lefthandz,rightshoulderx,rightshouldery,rightshoulderz,rightelbowx,rightelbowy,rightelbowz,righthandx,righthandy,righthandz,torsox,torsoy,torsoz,lefthipx,lefthipy,lefthipz,leftkneex,leftkneey,leftkneez,leftfootx,leftfooty,leftfootz,righthipx,righthipy,righthipz,rightkneex,rightkneey,rightkneez,rightfootx,rightfooty,rightfootz
1,13316,104.12143,2.1221542,1303.286,119.806915,376.13495,1276.2236,111.66528,170.25914,1291.0632,-16.835997,177.20367,1307.2104,-96.11127,-45.448868,1227.8063,47.68457,-155.70187,1143.5525,240.16656,163.3146,1274.916,337.676,-2.5695343,1186.5496,134.01765,-133.68979,1141.3544,104.11635,2.16193,1303.2826,25.231161,-162.0801,1324.466,-2.8852348,-501.05505,1374.9159,6.229641,-821.4464,1456.0675,167.90367,-169.79048,1306.538,186.10953,-512.97473,1318.0658,196.31857,-835.2488,1391.2402
1,13354,102.14017,-10.528534,1302.0361,118.5914,367.49606,1261.9277,107.92357,157.02325,1274.5244,-21.542725,164.3569,1291.9918,-102.77519,-48.831894,1225.2172,34.79634,-228.18492,1149.3523,237.38986,149.68964,1257.057,326.81973,-29.987473,1189.4352,139.57878,-202.50235,1145.7744,102.14789,-10.478966,1302.0409,25.183754,-173.94872,1339.162,8.016247,-514.71936,1384.0685,2.9226098,-837.2071,1458.0713,167.56065,-182.01367,1319.9528,186.3366,-525.64636,1319.7837,195.64674,-848.92004,1389.842
1,13396,100.76789,-28.942123,1298.5753,118.73872,359.90375,1253.0896,105.26176,140.79193,1263.0046,-26.783808,148.16498,1281.5028,-113.40144,-57.648926,1222.9006,17.289047,-283.93518,1150.4131,237.30731,133.41887,1244.5065,327.91205,-52.610367,1189.4095,157.15727,-254.22627,1144.9515,100.773285,-28.869997,1298.5889,23.215937,-194.45197,1344.4093,-2.5706425,-536.0655,1379.0149,1.3763154,-856.9783,1460.3594,169.3537,-202.61188,1323.9369,186.81473,-546.4208,1316.6682,201.31409,-869.5659,1387.2693
1,13443,100.3909,-51.02641,1293.3835,119.57057,339.73868,1242.6068,102.1517,119.46303,1253.2448,-27.102314,126.71494,1278.3535,-112.73537,-109.00324,1213.0798,21.090302,-351.739,1150.9088,231.40572,112.21112,1228.136,318.3987,-83.11296,1183.1503,165.95522,-308.14264,1148.7633,100.392395,-50.93986,1293.4039,25.810673,-217.25699,1347.7096,-4.280384,-556.9934,1378.9286,0.77139044,-877.3292,1455.157,171.4555,-225.42853,1319.4166,182.85497,-567.7079,1315.4374,199.02333,-887.3456,1393.0367
1,13474,104.265625,-145.75,1244.0,115.51444,246.3662,1184.8529,98.3567,22.847733,1211.6019,-25.540075,24.072067,1240.3271,-90.47949,-152.99089,1235.6667,-21.234901,-415.4062,1163.6763,222.25348,21.623398,1182.8767,286.03204,-181.9692,1153.3162,166.11497,-391.87247,1151.618,104.250496,-145.37965,1244.193,34.3581,-312.85815,1294.355,-10.905182,-636.3935,1397.3108,-4.1583743,-955.93115,1476.8259,185.93048,-314.35596,1259.2131,179.37154,-651.4115,1319.8295,197.69092,-969.9346,1401.5602
1,13513,103.050934,-155.7229,1237.391,115.90574,236.9232,1185.3588,98.5371,15.396591,1209.376,-24.918203,15.901627,1232.3503,-85.30724,-189.73138,1236.4586,-32.303726,-404.66898,1168.1989,221.99242,14.891556,1186.4016,284.7166,-188.00087,1164.1484,187.8347,-404.29895,1152.0403,103.05562,-155.6825,1237.4175,33.354607,-326.45795,1279.2709,-9.686821,-646.7632,1393.4277,-2.3897367,-964.66907,1480.0259,181.79366,-327.0652,1251.6471,181.10437,-664.6467,1310.9598,200.30435,-982.4433,1396.1266
1,13553,98.03015,-187.03479,1224.0728,109.73749,205.78867,1173.1401,95.54991,-15.078171,1201.6838,-25.676842,-13.775848,1225.1602,-83.267136,-230.03358,1234.1996,-50.4144,-403.5667,1174.8257,216.77667,-16.380493,1178.2075,274.38733,-226.36607,1164.9036,172.06288,-322.9711,1042.4572,98.04978,-186.91232,1224.1249,27.191368,-357.95837,1260.7722,-15.895294,-678.6002,1375.0491,-8.590542,-996.8402,1461.7383,173.90793,-359.53455,1232.3596,173.21793,-697.4709,1291.7346,192.43808,-1015.60144,1376.9908
1,13595,93.14254,-208.15643,1216.0248,106.513916,175.32082,1157.2224,91.55288,-35.761185,1196.1796,-28.46777,-34.266876,1218.848,-82.820404,-250.09576,1236.8232,-55.365257,-402.66003,1178.841,211.57355,-37.255493,1173.5111,264.9402,-249.92076,1161.3711,168.96985,-319.25385,1040.0184,93.16171,-208.07346,1216.0565,21.758587,-379.47668,1249.7233,-21.329811,-700.1314,1364.0048,-14.024765,-1018.3842,1450.6974,167.7825,-381.29474,1222.1437,167.09247,-719.2447,1281.5211,186.3134,-1037.3881,1366.7808
1,13634,87.13957,-249.46149,1209.5396,104.22852,135.89908,1153.1847,84.24435,-78.10365,1193.612,-33.91013,-78.01027,1216.2316,-79.18864,-297.16138,1232.8441,-54.348755,-300.1524,1183.1799,202.39882,-78.19704,1170.9926,248.47595,-282.74976,1149.6348,172.11707,-315.255,1049.2965,87.16309,-249.29982,1209.5651,17.546719,-420.43866,1239.4042,-25.542603,-741.1002,1353.6881,-18.2374,-1059.3599,1440.3827,162.61696,-420.5533,1211.632,161.92691,-758.5105,1271.0106,181.14825,-1076.6606,1356.2721
1,13675,81.9612,-279.88614,1200.297,101.01556,103.08214,1139.0796,80.08784,-108.57796,1184.9314,-38.810905,-108.376816,1201.7855,-78.761536,-314.8721,1229.0889,-69.596245,-166.94212,1163.1619,198.98657,-108.7791,1168.0773,255.465,-317.57642,1168.2354,169.5494,-321.94354,1048.0048,81.981514,-279.76666,1200.3333,7.891784,-450.82684,1226.5059,-35.199123,-771.50024,1340.794,-27.89365,-1089.7716,1427.4917,159.8586,-451.08392,1204.9644,159.16852,-789.0536,1264.3452,178.39056,-1107.2155,1349.6099
