user,timestamp,comx,comy,comz,headx,heady,headz,neckx,necky,neckz,leftshoulderx,leftshouldery,leftshoulderz,leftelbowx,leftelbowy,leftelbowz,lefthandx,lefthandy,lefthandz,rightshoulderx,rightshouldery,rightshoulderz,rightelbowx,rightelbowy,rightelbowz,righthandx,righthandy,righthandz,torsox,torsoy,torsoz,lefthipx,lefthipy,lefthipz,leftkneex,leftkneey,leftkneez,leftfootx,leftfooty,leftfootz,righthipx,righthipy,righthipz,rightkneex,rightkneey,rightkneez,rightfootx,rightfooty,rightfootz
1,14018,-29.09042,-100.23967,1669.8462,15.465933,280.3911,1733.6484,-23.205946,35.498016,1702.0532,-147.33281,41.61171,1698.9255,-188.32707,-231.76225,1693.392,-216.35126,-461.85345,1594.3892,100.92091,29.384323,1705.1809,133.94496,-145.56927,1835.7007,181.48398,-362.45,1771.052,-29.078335,-100.21774,1669.824,-117.43443,-231.87088,1635.5164,-136.2854,-539.38245,1605.3894,-113.28639,-884.06866,1706.8245,47.53299,-239.99612,1639.6731,83.152176,-555.02954,1620.834,98.05633,-898.57263,1731.6248
1,14061,-29.656517,-102.9623,1671.6234,14.429527,281.42786,1732.0061,-24.995602,30.380348,1705.1511,-153.06308,34.433884,1706.8257,-177.80473,-224.98286,1705.4194,-210.7968,-488.27863,1579.9508,103.071884,26.326813,1703.4766,152.85931,-156.46904,1737.0476,181.68259,-388.82043,1742.292,-29.654259,-102.95159,1671.6163,-115.755005,-233.70576,1639.1465,-125.737015,-535.2381,1604.4279,-114.78934,-879.0105,1709.8888,47.12917,-238.8613,1637.0166,84.245995,-555.1311,1619.1487,93.60584,-897.692,1725.815
1,14099,-31.06774,-111.54538,1672.8732,14.418182,282.56512,1730.3204,-25.70805,28.452118,1706.3011,-155.16298,31.850098,1712.8075,-185.59488,-216.32161,1697.9967,-216.68393,-493.59595,1577.15,103.74689,25.054138,1699.7948,147.34012,-164.57681,1729.5917,192.5735,-414.148,1700.394,-31.062216,-111.51181,1672.8683,-118.65743,-249.31705,1643.5688,-142.50809,-603.65344,1594.303,-128.05266,-934.98535,1688.4423,45.82467,-253.63443,1635.302,80.60945,-566.6183,1616.5984,89.34781,-909.296,1724.2388
1,14139,-30.726044,-115.61119,1674.5259,15.933582,282.81268,1730.3306,-25.884254,29.73021,1707.0994,-154.80545,32.04081,1715.9573,-184.83508,-220.32095,1695.6334,-208.9256,-468.75912,1576.0627,103.03695,27.41961,1698.2415,142.7963,-168.52689,1723.6052,190.97038,-417.04547,1650.5944,-30.727358,-115.595184,1674.5194,-116.902,-259.4629,1647.5276,-144.37523,-528.79834,1598.9507,-117.1029,-837.5359,1711.3981,45.76108,-262.37823,1636.3513,83.06896,-577.55493,1618.0594,87.26852,-916.61945,1727.2675
1,14181,-28.103432,-111.015366,1671.7693,15.383797,284.78833,1730.569,-19.99229,38.689674,1704.5935,-143.74626,44.07363,1710.6565,-193.75302,-192.66544,1677.33,-237.98613,-342.64026,1897.0748,103.76169,33.305717,1698.5303,139.28238,-171.52863,1680.9642,187.98979,-437.45935,1527.3206,-28.113684,-111.03326,1671.78,-114.864006,-257.33542,1642.8188,-144.25012,-532.88574,1579.8547,-103.8322,-833.1626,1696.9524,42.393852,-264.17697,1635.1143,94.61665,-596.55084,1640.994,86.39077,-918.14215,1735.9764
1,14220,-27.275293,-107.73607,1671.0276,15.157318,286.6991,1730.6808,-21.081017,41.09317,1705.6285,-147.69461,45.115616,1711.0042,-194.13107,-185.3924,1670.2262,-230.79735,-339.38513,1880.4695,105.532585,37.070724,1700.2529,140.0597,-174.15076,1663.1018,179.27953,-413.12753,1480.1212,-27.278566,-107.74895,1671.0305,-111.47027,-254.11324,1639.7439,-138.77454,-525.6131,1564.6727,-98.933784,-835.88196,1700.4385,44.51804,-259.0689,1633.1211,91.51137,-587.73114,1629.8679,84.59368,-916.9749,1737.2343
1,14261,-26.227188,-108.29362,1671.3572,14.822231,287.6738,1731.3594,-20.802685,37.926865,1707.7202,-146.5876,40.888916,1714.5876,-185.44392,-183.4621,1669.1688,-224.02873,-344.6751,1848.5627,104.98223,34.964813,1700.8528,141.58951,-180.20125,1651.6257,169.40038,-397.47635,1436.6005,-26.231295,-108.29149,1671.356,-109.15799,-252.68488,1639.2228,-145.18336,-528.2119,1567.9849,-91.32387,-799.75464,1709.39,45.83818,-256.3348,1630.7606,92.26026,-562.5027,1630.325,81.593094,-906.9394,1722.8314
1,14298,-26.275492,-109.962234,1671.6082,14.937927,287.51483,1731.8579,-21.35228,34.038292,1709.4598,-147.47029,35.948845,1718.5946,-192.4871,-196.29947,1693.3005,-214.52916,-346.6431,1810.8761,104.76573,32.12774,1700.3251,142.76556,-182.95886,1644.873,155.0785,-374.4222,1410.5764,-26.275318,-109.95571,1671.6072,-108.1286,-252.7843,1639.3265,-158.11002,-598.10077,1552.4805,-96.27869,-904.6007,1700.0096,45.731888,-255.11513,1628.1825,91.7813,-571.30347,1624.527,79.205345,-906.8641,1721.119
1,14339,-24.73098,-120.63833,1672.3718,14.6973915,287.1619,1732.2904,-25.871342,21.997894,1704.5311,-157.17924,21.626068,1701.5485,-186.3392,-219.132,1699.7504,-165.53096,-471.54233,1499.1738,105.43656,22.36972,1707.5138,146.40329,-186.03752,1620.8442,131.0927,-363.7831,1369.3821,-24.737013,-120.5966,1672.3688,-102.338295,-263.41406,1638.418,-143.02365,-504.62924,1578.847,-86.69858,-809.8324,1714.5747,55.132923,-262.96814,1641.9949,77.0195,-517.8318,1595.9448,86.212616,-870.83307,1704.9751
1,14382,-21.94917,-122.23837,1675.5084,14.385576,286.4091,1733.7107,-22.24846,22.991112,1707.8876,-150.89296,23.362343,1705.0778,-185.28654,-216.55478,1697.3065,-166.78665,-458.82483,1500.873,106.39603,22.61988,1710.6974,145.7614,-188.07632,1617.6077,120.98935,-357.21967,1367.4452,-21.96006,-122.23196,1675.4962,-103.58586,-267.21863,1641.3157,-147.93848,-498.00833,1582.1846,-87.30062,-809.7787,1712.3694,60.242542,-267.6914,1644.894,42.291767,-522.2743,1571.852,90.04094,-868.812,1693.2578
1,14419,-18.948439,-125.141685,1677.771,14.965591,286.0619,1734.4318,-20.070644,23.589676,1710.6261,-147.63258,22.923935,1709.3285,-186.63437,-216.23547,1695.635,-168.58687,-448.37207,1499.6593,107.491295,24.255417,1711.9237,146.74915,-190.09647,1626.5957,111.81387,-347.76367,1369.7349,-18.960203,-125.130325,1677.7621,-100.70406,-274.28275,1644.0553,-148.6049,-515.7979,1584.7737,-93.00372,-818.59973,1707.8884,65.00454,-273.4179,1645.7408,58.57716,-526.584,1573.0306,88.1126,-869.20825,1683.4121
1,14459,-16.222836,-131.73691,1681.2681,15.643608,285.33038,1735.2661,-18.989834,22.432724,1712.1248,-146.58372,19.129059,1717.2283,-183.46873,-223.15117,1698.755,-172.08035,-446.10458,1510.0997,108.604065,25.73639,1707.0212,132.40831,-195.98404,1598.9126,102.05409,-346.38803,1364.2762,-16.233528,-131.7111,1681.2544,-91.52572,-287.87576,1653.5059,-145.34567,-517.12036,1581.1005,-96.331375,-820.1437,1699.0563,64.571266,-283.8341,1647.2622,94.81793,-533.89966,1581.3645,86.54407,-875.4513,1680.9348
1,14498,-20.690092,-134.77393,1710.438,16.47549,285.19244,1736.5645,-19.217716,24.28627,1710.3165,-138.85378,25.382889,1757.1715,-176.01239,-219.61984,1739.2847,-167.05179,-439.0565,1555.925,100.41835,23.189651,1663.4615,127.31743,-196.43887,1562.2472,86.48622,-352.2191,1327.8625,-20.672684,-134.76196,1710.324,-119.50238,-292.91763,1748.4678,-157.21957,-503.06055,1538.3387,-113.14114,-804.3812,1657.9973,75.247086,-294.70276,1672.1951,101.92963,-540.2838,1617.4814,107.379715,-883.09595,1715.4423
1,14540,-18.940224,-134.44464,1709.919,17.012968,284.93164,1738.1649,-17.957182,23.71901,1711.1184,-138.23817,24.140701,1754.8254,-177.61247,-216.39908,1735.8013,-180.86925,-446.4458,1561.5853,102.32381,23.297318,1667.4114,130.59674,-199.20709,1574.4647,75.693275,-372.9784,1342.8997,-18.946991,-134.44588,1709.9205,-113.14318,-292.284,1742.5914,-153.09242,-497.57513,1540.4252,-111.35677,-796.10913,1654.8585,73.269585,-292.93753,1674.8539,108.80604,-526.8091,1592.6108,106.34741,-883.5816,1709.3914
