user,timestamp,comx,comy,comz,headx,heady,headz,neckx,necky,neckz,leftshoulderx,leftshouldery,leftshoulderz,leftelbowx,leftelbowy,leftelbowz,lefthandx,lefthandy,lefthandz,rightshoulderx,rightshouldery,rightshoulderz,rightelbowx,rightelbowy,rightelbowz,righthandx,righthandy,righthandz,torsox,torsoy,torsoz,lefthipx,lefthipy,lefthipz,leftkneex,leftkneey,leftkneez,leftfootx,leftfooty,leftfootz,righthipx,righthipy,righthipz,rightkneex,rightkneey,rightkneez,rightfootx,rightfooty,rightfootz
1,15516,91.565,-142.52734,1834.7566,97.306725,334.88776,1809.4078,12.585968,8.595871,1908.0404,-142.03412,-66.81859,1897.2461,-46.01519,-265.86554,1966.4434,-134.59506,-365.20615,1776.937,167.20605,84.01033,1918.8347,291.64642,-110.278336,1938.6864,305.2384,-271.12177,1772.6376,91.42806,-142.56937,1834.8052,119.95755,-318.2741,1758.0575,-4.7425613,-594.3148,1897.9807,47.602856,-801.5901,1925.2739,220.58276,-269.19513,1765.0824,249.32709,-567.81006,1749.6425,253.77518,-833.9723,1864.6766
1,15554,53.537186,-157.39722,1830.9131,81.742035,334.23706,1807.7382,9.97517,6.4598694,1886.866,-158.67862,-40.144653,1891.5483,-77.559364,-228.29355,1992.3905,-176.94177,-317.62094,1807.2062,178.62897,53.064392,1882.1836,298.1311,-140.30186,1904.0518,311.7975,-300.95502,1742.332,53.685196,-157.3393,1830.9283,2.4102364,-347.3859,1777.6278,-13.701252,-563.43604,1881.5153,32.923542,-782.639,1927.5043,192.3802,-294.89102,1772.3536,223.8578,-576.2808,1755.4457,218.28693,-823.5337,1872.2008
1,15598,34.277214,-178.787,1806.2959,66.69437,331.185,1806.5968,10.006348,-14.009232,1843.9895,-162.22144,-43.531555,1861.7825,-117.30143,-167.67859,1965.3546,-357.2462,-314.87274,1527.1274,182.23413,15.513092,1826.1965,278.11688,-193.358,1864.556,331.89926,-377.15085,1621.2852,34.353027,-178.70322,1806.3921,-53.26184,-362.58902,1780.3616,-22.794027,-558.004,1861.6276,19.671228,-782.49866,1913.2693,170.66125,-324.20538,1757.2278,193.33067,-592.7047,1763.9207,218.08035,-838.2593,1881.6661
1,15635,23.833574,-189.72112,1790.283,47.931732,322.44232,1806.3304,7.629299,-23.170166,1819.3792,-166.4078,-43.509155,1838.6433,-256.6222,-209.67378,1815.2552,-381.06754,-299.5443,1494.758,181.66641,-2.8311768,1800.115,249.15886,-213.91791,1832.0597,337.81265,-391.12085,1551.8881,23.874666,-189.67807,1790.3458,-76.14702,-369.77362,1774.1821,-30.517117,-562.26624,1850.8678,10.721806,-786.02563,1907.7284,156.38708,-342.59833,1748.4429,176.74002,-603.97473,1769.8827,205.99281,-844.92834,1875.979
1,15676,9.40893,-193.8688,1778.9429,33.020023,316.57758,1798.0948,-3.1632605,-14.765488,1813.1052,-179.37547,-31.690338,1836.7201,-260.53864,-209.46951,1797.9298,-396.78076,-308.47778,1467.7798,173.04897,2.1593628,1789.4904,228.6812,-204.19067,1832.9794,328.48907,-371.04498,1543.2096,9.465437,-193.85243,1778.9874,-90.21216,-383.7262,1759.9202,-37.51266,-574.9418,1847.4564,-0.5480461,-793.6944,1915.2206,134.40044,-362.1526,1729.8191,159.66402,-609.4657,1774.258,193.62956,-843.4436,1867.5618
1,15719,-11.712521,-181.02126,1770.1432,21.981728,317.36584,1797.018,-19.871681,-4.4301453,1803.3829,-188.32983,-16.622147,1826.4274,-293.3388,-197.70653,1787.3082,-421.06952,-299.8163,1440.7257,148.58646,7.761856,1780.3385,209.6519,-194.16405,1821.9482,305.49316,-357.52237,1534.7518,-11.629792,-181.07137,1770.1777,-113.54095,-365.6848,1752.0411,-170.5019,-631.145,1788.9525,-18.912643,-803.15094,1926.4396,106.765144,-349.74036,1721.9039,151.1438,-613.8862,1764.1398,181.94528,-851.73975,1857.4642
1,15757,-18.055544,-182.02948,1759.1533,11.667501,321.43176,1794.6718,-23.104746,-8.248611,1792.3472,-192.3577,-16.1902,1808.0701,-304.4489,-199.87862,1770.7241,-423.31454,-303.73087,1422.9985,146.14822,-0.3070221,1776.6243,208.74092,-193.53311,1837.0397,294.5957,-343.42407,1536.0574,-18.030445,-182.02574,1759.1964,-115.598,-360.61896,1735.5807,-136.83292,-642.77466,1758.9128,-31.203331,-808.6632,1938.496,89.68571,-350.98676,1716.5106,143.28389,-619.7552,1754.957,171.19725,-860.68176,1844.3827
1,15794,-26.207268,-177.8144,1759.375,0.46430206,326.6245,1794.1858,-27.795238,-1.9838715,1789.7003,-200.82109,-5.5834503,1801.3302,-307.3264,-201.0947,1767.8177,-419.85443,-303.1133,1423.9379,145.23064,1.6157074,1778.0704,198.94276,-191.9264,1835.2269,283.89948,-337.67398,1532.5995,-26.17533,-177.83084,1759.3743,-122.379364,-355.71292,1735.6234,-136.01848,-632.03284,1769.9805,-41.9805,-817.55707,1937.5259,73.268524,-351.6427,1722.473,135.78116,-623.7337,1751.2996,158.21693,-862.4154,1845.079
1,15835,-29.349981,-176.37657,1759.6324,-7.223629,330.1872,1795.8451,-31.374357,-1.3177338,1788.9503,-201.84595,-5.4960175,1802.0564,-309.11957,-201.8314,1765.704,-411.084,-299.81467,1422.1416,139.09726,2.86055,1775.8442,185.46468,-191.31424,1840.9094,277.23666,-332.5664,1526.1279,-29.337578,-176.38223,1759.6316,-124.83309,-353.83728,1737.8113,-127.80991,-632.8262,1753.8088,-46.712166,-824.1556,1934.8741,70.2315,-349.0562,1722.8145,129.89949,-624.19446,1751.7645,145.69281,-864.0254,1847.755
1,15873,-34.487526,-178.42003,1758.5481,-12.850882,330.56824,1795.0486,-40.062485,-3.6768951,1786.6934,-212.64485,-11.252457,1799.4187,-311.0608,-209.88593,1761.2107,-394.10504,-326.05725,1432.8075,132.51988,3.8986664,1773.968,177.73555,-187.94801,1838.0499,268.06635,-328.16217,1511.0706,-34.467407,-178.41208,1758.5524,-127.50458,-357.47675,1737.684,-136.41855,-660.6852,1757.4867,-52.558815,-834.52435,1931.961,69.75992,-348.81775,1723.1388,123.97593,-623.02527,1753.1171,136.18584,-867.77454,1845.6392
