user,timestamp,comx,comy,comz,headx,heady,headz,neckx,necky,neckz,leftshoulderx,leftshouldery,leftshoulderz,leftelbowx,leftelbowy,leftelbowz,lefthandx,lefthandy,lefthandz,rightshoulderx,rightshouldery,rightshoulderz,rightelbowx,rightelbowy,rightelbowz,righthandx,righthandy,righthandz,torsox,torsoy,torsoz,lefthipx,lefthipy,lefthipz,leftkneex,leftkneey,leftkneez,leftfootx,leftfooty,leftfootz,righthipx,righthipy,righthipz,rightkneex,rightkneey,rightkneez,rightfootx,rightfooty,rightfootz
1,17972,158.96498,-87.354515,1579.0162,186.2794,320.3164,1559.4952,158.36601,79.54139,1581.6628,38.746864,78.75835,1603.8824,-18.943676,-118.67999,1481.6313,74.61798,-132.1517,1208.8463,277.98514,80.32443,1559.4432,311.8554,-115.22101,1533.3441,209.38187,-410.1683,1372.5463,158.96411,-87.36533,1579.0007,91.65225,-254.71661,1588.9531,55.37244,-546.6957,1598.286,110.359795,-884.23773,1711.0785,227.47217,-253.82751,1563.7241,258.96408,-578.83765,1568.3379,280.35126,-866.7239,1654.1024
1,18009,161.14896,-85.54707,1580.4531,183.8341,319.30005,1562.5981,160.25127,81.47674,1583.3031,42.49257,80.46107,1606.0447,-14.134823,-129.17227,1495.2966,69.08644,-202.19006,1225.601,278.00998,82.49241,1560.5615,316.393,-112.630424,1540.7794,203.88498,-415.68027,1381.474,161.14043,-85.55418,1580.4474,96.213905,-253.15276,1590.302,74.579865,-549.40796,1584.1313,107.06793,-883.82666,1713.2804,227.84526,-252.01743,1564.8813,253.88881,-568.06445,1552.0916,278.32556,-868.8339,1652.7294
1,18049,161.70314,-81.886215,1588.033,182.7101,318.89453,1566.4763,161.6848,84.829865,1592.2366,42.692467,84.37177,1609.825,-3.2092628,-132.17645,1511.2802,76.54108,-252.11172,1255.1003,280.67712,85.28796,1574.6482,319.46924,-118.103874,1546.4104,205.0877,-419.44,1396.3429,161.70094,-81.90054,1588.0033,95.38162,-248.88632,1593.5752,72.494095,-548.9391,1595.1821,105.61207,-879.3779,1716.2266,228.05255,-248.37558,1573.9648,246.04898,-548.93506,1562.2043,277.56973,-876.3812,1656.7749
1,18089,164.90523,-84.64443,1595.1356,185.62349,315.64734,1580.4424,165.39348,81.751305,1600.0922,48.676483,81.33343,1625.7673,26.659569,-147.2055,1540.3827,92.63684,-351.6046,1308.696,282.11047,82.16918,1574.417,337.9566,-121.49099,1576.7036,228.3848,-412.36133,1424.3009,164.89272,-84.633705,1595.1078,97.86664,-251.2569,1604.7576,72.928085,-549.29846,1609.7383,101.62113,-876.35394,1727.6056,230.91727,-250.78053,1575.4893,243.05905,-550.8525,1555.824,275.53375,-879.5322,1658.081
1,18133,169.5239,-85.50509,1599.9396,190.70503,313.17645,1592.1046,172.35893,81.8291,1607.235,59.66816,82.4145,1637.8009,41.355896,-157.24023,1550.3156,103.00646,-390.97437,1343.478,285.04968,81.243706,1576.6691,342.3286,-126.805855,1574.8573,242.04875,-418.14453,1429.9015,169.5058,-85.50168,1599.9208,100.36975,-252.48813,1610.585,73.45949,-551.37756,1619.7472,97.90374,-878.8933,1740.6953,232.9356,-253.17679,1574.6282,247.51646,-549.3999,1564.2067,271.50726,-879.6299,1657.0575
1,18172,180.27863,-91.67622,1602.7354,194.95714,310.82327,1597.4742,183.60814,75.838005,1607.9036,68.026146,77.13469,1641.2118,49.379715,-166.88297,1560.022,109.46025,-424.55695,1368.8961,299.19016,74.54132,1574.5953,353.52493,-134.4018,1565.6619,260.55392,-415.91248,1424.8076,180.23654,-91.65211,1602.7242,109.369545,-258.385,1616.9956,73.856285,-555.948,1623.9666,93.959206,-883.39343,1747.8978,244.36034,-259.8994,1578.0942,251.88107,-554.6223,1562.2178,271.62207,-879.62085,1662.5294
1,18212,188.64081,-94.38219,1602.8577,202.00021,308.05725,1601.5461,193.07683,72.475525,1603.2499,79.466095,75.44613,1633.9941,55.763313,-166.86835,1561.9669,117.07026,-433.55496,1386.2145,306.68756,69.50492,1572.5056,361.183,-138.55606,1563.084,282.21838,-415.03177,1417.6245,188.60799,-94.37152,1602.8572,115.330765,-259.41943,1621.0848,74.35385,-556.4551,1625.1647,91.398865,-886.64746,1747.857,252.94754,-263.0177,1583.8441,262.2364,-554.8719,1564.985,274.54858,-878.2324,1661.752
1,18249,197.80792,-92.01019,1608.0143,207.60011,307.7094,1604.436,200.4269,74.63131,1604.3239,84.0189,77.0715,1630.9185,57.309917,-167.10887,1560.6514,118.559494,-426.9112,1378.373,316.8349,72.19112,1577.7292,368.66208,-136.01636,1566.921,302.15958,-410.75824,1411.0214,197.77199,-92.01942,1607.994,121.71158,-257.13138,1628.4344,76.567764,-556.04095,1631.4672,90.47752,-888.4192,1755.8231,268.52258,-260.2089,1594.8939,260.6723,-553.61804,1560.2614,276.34216,-881.7322,1656.7341
1,18291,207.70795,-91.39684,1611.9574,212.61064,308.47165,1604.3092,210.08191,78.17326,1604.9877,91.729576,80.968445,1632.083,66.01156,-161.59863,1568.6139,135.4199,-409.53906,1341.5948,328.43423,75.37808,1577.8923,368.07117,-125.1387,1535.3868,336.41113,-403.54764,1379.2465,207.66913,-91.39928,1611.9419,132.27693,-259.24823,1635.6039,79.577774,-557.0105,1626.6515,95.57363,-890.34155,1750.9133,278.23578,-262.6954,1602.1884,296.4378,-605.35095,1578.409,278.24142,-924.8659,1661.8533
1,18331,221.65158,-101.012985,1609.0413,220.1185,307.87866,1603.8427,225.57178,67.277084,1594.5801,113.251076,71.925995,1617.7781,76.13966,-153.05533,1573.4978,139.25494,-395.16077,1334.2502,337.8925,62.628174,1571.3821,378.68396,-148.71191,1505.9349,349.6506,-414.8622,1354.7523,221.59695,-100.97543,1609.0526,142.3053,-266.1106,1639.0807,81.23439,-555.9431,1617.3665,95.42944,-889.7207,1742.9443,292.93896,-272.34528,1607.9696,309.3596,-590.0958,1598.1604,283.9997,-892.7371,1675.1184
1,18373,239.44614,-117.939644,1592.8615,231.05818,303.37415,1599.4673,248.30939,38.142807,1577.3784,122.884,47.967537,1603.9053,80.0198,-171.626,1562.255,133.3673,-417.88855,1320.9658,373.7348,28.318077,1550.8516,391.88898,-158.2702,1500.719,363.724,-408.0121,1338.1699,239.37642,-117.87337,1592.9247,162.77429,-268.58893,1622.7826,92.535805,-555.86597,1627.0248,100.596466,-886.9811,1750.553,298.1126,-279.19016,1594.1593,311.49194,-597.4724,1596.1393,284.1416,-899.7857,1670.6187
1,18411,239.37238,-119.207855,1588.7915,238.85275,294.3252,1596.4846,245.8609,42.284126,1577.9642,128.65779,48.40915,1599.0499,91.86212,-173.1175,1547.9426,123.29435,-422.78278,1320.8635,363.064,36.159103,1556.8785,395.08978,-167.16093,1500.2365,380.1564,-424.08984,1334.8882,239.37239,-119.202644,1588.8075,165.9369,-277.19077,1611.695,111.73721,-567.7395,1628.6636,104.09152,-885.80664,1749.1509,299.83087,-284.18805,1587.6066,313.53253,-628.5636,1602.9471,287.3908,-950.3031,1679.3589
1,18452,241.16473,-143.48767,1570.6421,250.8533,261.38092,1577.5922,247.84267,19.162933,1558.3573,134.0281,26.04335,1587.3003,92.016464,-172.2631,1554.219,104.61954,-392.2887,1429.4429,361.65723,12.2825165,1529.4143,395.29703,-177.33723,1495.3632,402.62747,-461.85498,1373.1215,241.15773,-143.3928,1570.7129,165.66492,-301.7889,1600.5663,127.13024,-642.46716,1632.9692,111.93237,-952.9254,1747.1353,303.28067,-310.1082,1565.5707,305.49945,-654.22864,1578.7136,288.4244,-964.7674,1692.3944
1,18494,241.32152,-154.25525,1564.2834,255.0967,242.3625,1568.0864,247.69708,8.687714,1550.6302,136.41397,15.722961,1582.5409,93.859146,-185.62584,1557.6583,83.879456,-479.04364,1412.6133,358.9802,1.6524658,1518.7196,395.76187,-185.96979,1497.6779,415.50186,-549.7149,1376.6199,241.32089,-154.21281,1564.3085,166.18167,-312.76617,1597.7046,158.5367,-609.0535,1625.0094,128.00456,-908.00037,1743.1049,303.70773,-321.4605,1558.2688,302.2676,-665.56464,1567.3098,286.36664,-971.16565,1693.4337
1,18533,242.75995,-161.77461,1562.5679,258.3266,231.80453,1564.127,247.22794,2.9371185,1546.4542,136.36893,9.035751,1577.9916,95.24249,-197.23657,1559.4639,65.101395,-495.43884,1454.3379,358.08694,-3.1615143,1514.9169,396.18954,-190.73662,1501.3035,397.2383,-407.93002,1407.197,242.75433,-161.74507,1562.5747,171.23984,-322.7392,1597.7671,168.06682,-665.848,1625.0807,136.62091,-969.2291,1753.5808,305.32162,-330.11536,1559.6233,297.76584,-674.2359,1561.5531,284.9087,-979.55304,1688.6647
1,18572,242.88904,-179.13104,1564.5149,258.11578,217.29178,1562.6138,243.6144,-14.9565735,1548.3363,132.36281,-11.403168,1579.4033,95.16162,-203.41823,1559.4028,47.25367,-470.4618,1476.6737,354.86597,-18.50998,1517.2693,399.70023,-207.48299,1519.5642,420.26535,-472.4712,1493.469,242.88852,-179.06314,1564.5073,175.6435,-341.04504,1599.2538,168.86403,-683.86523,1622.2415,140.13878,-981.3704,1763.1516,308.6818,-345.29437,1562.1029,293.2353,-688.50793,1553.985,283.8733,-994.9156,1677.3417
1,18609,237.65219,-191.33963,1556.7681,257.04108,193.12613,1560.4552,237.40617,-28.57431,1537.7893,125.6936,-25.650314,1564.3845,95.17757,-219.3625,1568.8176,15.420334,-478.27667,1481.5183,349.11877,-31.498306,1511.1941,400.90256,-218.7034,1523.6362,448.75934,-508.57196,1499.5148,237.67264,-191.29167,1556.7983,168.05809,-352.17993,1592.4438,162.34003,-694.2226,1623.3135,144.02487,-989.26074,1770.606,307.8201,-355.83813,1559.1709,292.4677,-698.84546,1568.608,283.41748,-1006.6675,1687.9468
1,18649,236.46623,-208.71198,1548.8894,257.224,180.84212,1555.25,237.961,-47.854874,1529.5962,124.500275,-43.384018,1558.0476,77.788956,-248.10164,1567.5127,-9.770935,-514.8656,1489.4202,351.42175,-52.32573,1501.1448,411.40002,-248.34335,1524.8431,480.27393,-522.66223,1486.4683,236.47093,-208.64392,1548.9203,164.78206,-366.6668,1585.8474,159.94402,-708.0659,1623.8164,147.09921,-1006.6776,1764.4602,305.17966,-372.1991,1550.6414,298.30487,-713.7279,1587.099,283.96722,-1024.4033,1698.4084
1,18690,239.88605,-213.61533,1553.5681,258.57217,176.66245,1552.6075,245.0821,-53.34041,1538.7552,121.95265,-47.64006,1557.1458,51.4777,-251.76282,1586.9993,-157.96802,-490.52594,1508.1713,368.21158,-59.040756,1520.3647,446.4164,-247.51828,1518.7697,603.7894,-497.68256,1425.9072,239.87271,-213.5959,1553.5499,161.16588,-370.4488,1579.3221,157.74106,-711.78894,1618.394,149.2001,-1015.319,1748.5547,308.16074,-377.254,1557.3671,299.9613,-719.098,1590.936,289.57904,-1031.0405,1699.2377
1,18732,240.85011,-208.7309,1556.6235,259.5159,184.05862,1555.5061,246.02304,-50.401093,1543.5502,119.27206,-45.016174,1558.5977,14.033775,-243.11049,1587.1764,-223.10828,-436.10324,1518.2529,372.77402,-55.78601,1528.5027,460.57153,-225.39505,1510.9867,643.5884,-437.2768,1410.9435,240.84631,-208.7499,1556.6115,161.80457,-363.96057,1578.4418,155.6928,-705.4902,1614.054,149.85864,-1012.3191,1736.0032,309.5346,-370.23682,1560.9037,301.08237,-712.27563,1590.67,295.97668,-1024.9586,1696.7498
1,18770,243.71968,-192.10641,1557.6494,262.34857,205.14159,1572.2288,249.52612,-24.068802,1546.7139,125.00069,-18.176956,1571.0457,-12.233978,-199.61696,1585.2206,-271.18118,-351.76566,1531.9622,374.05154,-29.960648,1522.3821,483.2966,-203.61366,1514.5912,674.09735,-305.7011,1420.8867,243.70844,-192.17143,1557.6454,165.11841,-356.83087,1582.7964,155.7773,-699.04095,1612.3755,149.50009,-1008.89636,1726.8851,310.6631,-363.71722,1554.3574,303.49738,-705.8301,1585.6205,299.09476,-1018.11694,1693.4158
1,18811,245.06096,-181.851,1562.3292,264.28055,224.20898,1588.1733,249.88509,-15.406357,1553.6592,125.54732,-10.369339,1581.1805,-35.898407,-162.9622,1593.1637,-314.37817,-274.2195,1544.3997,374.22287,-20.443375,1526.1378,540.81323,-142.33636,1499.8008,718.84393,-234.19415,1414.6519,245.05566,-181.8913,1562.3109,168.95021,-345.48877,1586.7391,151.44928,-687.7787,1609.9089,147.5804,-998.11127,1722.964,311.50226,-351.26367,1555.1862,310.23096,-693.40686,1585.8774,305.48737,-1007.48816,1688.0203
