user,timestamp,comx,comy,comz,headx,heady,headz,neckx,necky,neckz,leftshoulderx,leftshouldery,leftshoulderz,leftelbowx,leftelbowy,leftelbowz,lefthandx,lefthandy,lefthandz,rightshoulderx,rightshouldery,rightshoulderz,rightelbowx,rightelbowy,rightelbowz,righthandx,righthandy,righthandz,torsox,torsoy,torsoz,lefthipx,lefthipy,lefthipz,leftkneex,leftkneey,leftkneez,leftfootx,leftfooty,leftfootz,righthipx,righthipy,righthipz,rightkneex,rightkneey,rightkneez,rightfootx,rightfooty,rightfootz
1,14173,-114.90478,-175.20938,1493.0356,-51.91795,199.9657,1378.3943,-100.17151,-14.601318,1446.0944,-219.16505,-8.582428,1429.6111,-298.84335,-209.45087,1450.3405,-353.90234,-450.82764,1301.47,18.82203,-20.620209,1462.5776,56.955097,-218.47357,1578.8185,100.124054,-532.8021,1586.2468,-114.78426,-175.15868,1492.9567,-195.69725,-332.36246,1530.6349,-197.01753,-666.63257,1604.6486,-122.24222,-985.53015,1571.693,-63.09678,-339.0696,1549.003,-45.942112,-676.9573,1601.4811,47.312626,-991.11536,1570.1553
1,14204,-137.32535,-181.38168,1501.4869,-70.40232,194.99098,1386.1107,-119.18006,-19.606369,1457.2949,-236.28818,-11.676727,1438.4534,-317.76657,-214.52432,1454.3435,-376.51672,-451.2471,1305.0498,-2.0719547,-27.53601,1476.1365,33.733795,-226.89258,1595.9607,76.590004,-544.119,1605.4835,-137.23729,-181.35739,1501.4537,-229.11911,-338.1096,1533.7349,-219.2361,-673.58167,1606.6924,-134.08484,-991.9048,1584.7334,-81.46992,-348.10724,1557.4902,-68.69957,-691.29675,1561.9552,33.592964,-1004.16016,1588.6991
1,14243,-157.1199,-181.46236,1514.6183,-80.93554,192.18768,1391.2034,-133.30246,-18.510376,1468.2522,-246.20059,-10.549622,1438.3923,-334.98804,-213.39735,1457.1888,-394.07504,-461.32562,1306.3146,-20.404324,-26.47113,1498.112,9.538404,-228.27527,1617.4977,48.84755,-549.5237,1626.5356,-157.04224,-181.46196,1514.567,-250.85483,-339.47253,1542.3486,-252.2198,-676.0648,1615.4059,-154.89038,-992.52234,1607.3407,-110.70918,-349.35455,1579.415,-80.98308,-691.06885,1548.0885,21.842667,-1001.95984,1597.6577
1,14282,-171.68756,-182.0908,1523.5804,-92.620316,190.3293,1390.5624,-150.29984,-16.775375,1478.8796,-264.40088,-11.438202,1444.1431,-359.14545,-226.42735,1456.0631,-414.0829,-472.21216,1314.2142,-36.19879,-22.112549,1513.6162,-14.512156,-224.80441,1632.1854,19.597372,-549.0493,1639.0662,-171.63036,-182.08833,1523.5453,-261.67007,-344.18738,1547.2933,-269.3505,-681.5563,1621.3955,-177.52069,-1000.8152,1623.2379,-124.25167,-350.61523,1589.1285,-99.163895,-695.1918,1591.4784,10.11702,-1008.3926,1609.5138
1,14325,-184.09457,-186.72229,1529.9104,-109.675766,182.24411,1388.357,-165.56535,-22.839005,1483.268,-282.2762,-19.958817,1447.1245,-372.49832,-234.89868,1462.9622,-439.42145,-487.12213,1326.3,-48.85449,-25.719193,1519.4114,-33.9189,-227.36331,1642.0481,-10.568171,-535.4061,1648.5012,-184.04588,-186.7042,1529.8855,-270.77975,-348.885,1555.3662,-339.8222,-681.4862,1622.3369,-205.60335,-985.78064,1637.2311,-134.27309,-352.25372,1597.6399,-105.66171,-697.2031,1605.8105,-5.355339,-1014.09265,1624.5524
1,14362,-194.7956,-190.48775,1535.8073,-119.378174,178.2435,1389.7015,-175.67383,-24.956024,1485.5833,-292.59924,-21.540482,1452.405,-384.36218,-236.07619,1472.0172,-468.11905,-494.12195,1353.9324,-58.748405,-28.371567,1518.7615,-49.02016,-229.51863,1648.3356,-43.556637,-514.39966,1656.2278,-194.7536,-190.47296,1535.7842,-284.06973,-353.9382,1566.0552,-343.94443,-692.2941,1614.6555,-222.98686,-1001.8115,1644.89,-143.59702,-358.0416,1605.915,-113.491234,-703.6575,1614.5747,-27.047379,-1024.8522,1641.1697
1,14406,-211.3746,-190.75613,1546.6873,-130.44052,174.60686,1396.1503,-196.94838,-25.628082,1496.8807,-318.46732,-22.856628,1471.008,-403.4618,-237.57507,1485.1714,-511.81955,-503.0457,1395.737,-75.42944,-28.399536,1522.7534,-57.43781,-197.74194,1649.0919,-203.14412,-61.92961,1439.6985,-211.30968,-190.75502,1546.6447,-303.88614,-354.09814,1579.7557,-341.41788,-697.563,1612.6367,-234.29153,-1011.34827,1650.4895,-147.45583,-357.66577,1613.0614,-126.8403,-703.85693,1626.6471,-43.39126,-1025.7092,1655.2378
1,14445,-221.67787,-191.85657,1559.1483,-137.64511,171.32555,1400.4763,-205.86078,-29.140518,1501.7556,-327.38113,-25.97902,1477.2932,-417.40433,-238.21443,1497.2771,-532.60254,-509.3459,1411.7135,-84.34039,-32.302017,1526.218,-61.303604,-182.60411,1671.4722,-180.1442,-83.62319,1416.4397,-221.63737,-191.85226,1559.0994,-323.22906,-352.33142,1599.1683,-369.8639,-696.25525,1605.0013,-242.26727,-999.8844,1659.1353,-151.59889,-356.7966,1633.7179,-125.38696,-702.8166,1625.0259,-57.470406,-1027.6829,1660.399
1,14482,-226.4688,-193.80893,1565.6115,-142.12277,168.13214,1402.7275,-206.73947,-31.715134,1499.6531,-324.75143,-28.569641,1472.1064,-426.21106,-239.2889,1506.849,-545.942,-510.46094,1436.5946,-88.72752,-34.860626,1527.1997,-66.16915,-177.75885,1681.2988,-181.44748,-119.53145,1419.4971,-226.44994,-193.80128,1565.586,-332.5755,-353.5841,1611.3479,-366.74518,-698.8362,1628.9238,-255.11536,-1010.8927,1670.5272,-159.74529,-358.19073,1651.6902,-137.55058,-704.5532,1666.384,-71.03802,-1031.8759,1669.0784
1,14524,-233.21432,-197.13113,1572.7262,-147.43988,165.39723,1405.626,-213.18478,-35.481598,1501.4602,-331.13492,-32.651886,1474.7612,-433.01947,-240.73152,1513.3533,-556.8857,-517.6961,1455.5845,-95.23465,-38.31131,1528.1592,-74.054794,-187.9458,1687.84,-173.93765,-132.07593,1416.2231,-233.1879,-197.11813,1572.6984,-340.2072,-356.66708,1624.2397,-388.862,-700.9796,1644.9944,-270.3128,-1011.9594,1682.8333,-166.1748,-360.84225,1663.6333,-146.42505,-707.8712,1686.654,-78.98208,-1035.8695,1678.7382
