user,timestamp,comx,comy,comz,headx,heady,headz,neckx,necky,neckz,leftshoulderx,leftshouldery,leftshoulderz,leftelbowx,leftelbowy,leftelbowz,lefthandx,lefthandy,lefthandz,rightshoulderx,rightshouldery,rightshoulderz,rightelbowx,rightelbowy,rightelbowz,righthandx,righthandy,righthandz,torsox,torsoy,torsoz,lefthipx,lefthipy,lefthipz,leftkneex,leftkneey,leftkneez,leftfootx,leftfooty,leftfootz,righthipx,righthipy,righthipz,rightkneex,rightkneey,rightkneez,rightfootx,rightfooty,rightfootz
1,11747,-255.2262,-119.30463,1894.3868,-225.3153,279.1759,1795.12,-236.04529,71.39762,1821.613,-353.6617,83.427414,1822.1726,-426.0881,-151.94858,1815.4231,-397.7851,-451.25394,1699.3762,-118.428856,59.36783,1821.0535,-98.44155,-172.63983,1861.2208,-218.14719,-456.28198,1721.0796,-255.20227,-119.28599,1894.3676,-355.20822,-301.70038,1967.5067,-359.73044,-687.3014,2022.0239,-317.02356,-1052.2588,1949.7771,-193.51028,-318.23883,1966.7374,-189.45964,-649.2101,1967.9891,-155.96057,-992.8017,1948.041
1,11789,-264.27145,-125.95365,1896.5394,-227.54434,274.22473,1797.0181,-241.01114,65.54406,1826.5924,-358.6227,79.12154,1824.7076,-436.84213,-156.2097,1823.141,-407.71497,-453.6139,1702.9087,-123.39956,51.966583,1828.4772,-103.2752,-180.89383,1863.6853,-215.15565,-467.58542,1728.3447,-264.23605,-125.927605,1896.531,-358.32642,-309.21832,1965.334,-393.51743,-649.5442,1977.7415,-334.04297,-1016.3006,1970.4005,-216.59552,-325.5802,1967.6052,-209.9715,-670.41205,1955.8922,-161.76381,-990.59467,1962.1349
1,11828,-274.22168,-132.16959,1890.2235,-232.29326,265.29578,1798.6842,-249.91893,57.904114,1821.9554,-361.45303,72.12694,1821.9087,-443.12518,-163.59668,1823.2097,-418.41904,-467.4692,1699.065,-138.38483,43.68129,1822.0022,-106.34783,-181.19307,1869.766,-210.95505,-476.99554,1733.2904,-274.18268,-132.1452,1890.2482,-366.03027,-313.57623,1958.5126,-423.57635,-659.69403,1885.1975,-345.91385,-1018.6929,1982.2405,-230.8626,-330.8128,1958.5692,-218.66165,-682.8891,1940.9658,-168.10057,-996.25385,1970.0093
1,11868,-311.097,-176.01709,1886.8586,-265.7212,231.34325,1789.0568,-307.51837,-8.442032,1817.8204,-450.36588,-8.720871,1810.0397,-504.03818,-228.84454,1785.7649,-433.28296,-464.4284,1675.4358,-164.67087,-8.163193,1825.6012,-127.546036,-233.9406,1894.471,-192.46863,-546.33563,1764.554,-310.95276,-175.84572,1886.8718,-389.88254,-343.3968,1951.811,-483.65952,-695.51935,2024.4851,-363.5822,-1015.6052,1995.4067,-238.89175,-343.10205,1960.0354,-216.39842,-731.2018,1934.7076,-169.07327,-1098.8378,1988.7719
1,11906,-327.31122,-177.64838,1882.9954,-280.248,219.42276,1783.2804,-317.8942,-6.5231934,1814.803,-451.23074,-3.0892487,1805.1339,-512.7982,-216.24603,1795.0299,-442.2754,-479.41577,1672.4415,-184.55765,-9.957138,1824.472,-146.41652,-238.87898,1897.623,-188.00217,-552.1623,1777.5377,-327.2473,-177.64134,1883.0105,-405.0206,-346.9974,1946.2565,-494.73328,-701.71826,1977.1527,-379.71896,-1009.4817,2001.8468,-268.18027,-350.52158,1956.1796,-215.23904,-735.75964,1933.5146,-175.07603,-1102.4089,1998.5791
1,11944,-333.91382,-179.46123,1881.4651,-288.90314,215.69241,1779.7668,-326.09378,-4.0397186,1814.5278,-456.70483,-1.7759094,1805.2532,-515.2426,-221.41757,1803.8948,-453.57117,-492.99097,1673.5933,-195.48274,-6.303528,1823.8025,-156.93445,-237.14903,1894.2411,-187.70663,-555.67737,1786.6823,-333.88776,-179.45412,1881.4711,-412.47073,-353.64157,1943.3876,-500.5938,-732.27686,1963.6145,-397.29074,-1087.5908,2020.0704,-270.89273,-356.09546,1953.441,-243.30804,-708.29144,1915.0088,-187.43414,-1041.3748,1999.6378
1,11986,-340.70474,-181.18768,1878.7976,-296.34482,214.36877,1778.0503,-333.3637,-1.5565186,1815.2947,-458.48962,1.4065399,1809.2648,-517.01196,-224.94327,1816.4574,-463.145,-506.23294,1685.2802,-208.2378,-4.519577,1821.3246,-169.85918,-235.30869,1886.2246,-191.20905,-558.59656,1785.3313,-340.6781,-181.18091,1878.8082,-417.85464,-359.15094,1938.9551,-496.4338,-739.4044,1967.0006,-407.74222,-1099.5878,2017.2191,-278.13034,-362.45966,1945.6885,-263.8867,-716.4065,1939.2222,-189.19287,-1041.6398,2010.823
1,12025,-357.64917,-189.9636,1874.9226,-334.97403,205.28752,1772.8159,-351.18698,-7.360672,1808.6149,-464.4336,-4.9598236,1804.3027,-527.8011,-227.40819,1827.3389,-492.66342,-513.0048,1696.4501,-237.94037,-9.76152,1812.927,-189.79402,-230.09253,1887.5409,-198.47333,-547.4633,1795.4974,-357.5829,-189.92929,1874.9377,-428.956,-371.12036,1938.7864,-539.24243,-736.06885,2017.2744,-423.69604,-1091.6174,2035.0095,-299.0016,-373.87543,1943.7349,-280.19803,-724.99976,1924.9221,-198.17786,-1038.4554,2016.0012
1,12068,-376.50586,-195.90895,1872.5464,-353.1568,199.37607,1770.7606,-368.90408,-13.384293,1804.626,-481.33365,-11.424957,1797.4307,-543.5028,-228.40797,1832.4058,-504.26917,-516.15894,1697.5841,-256.47452,-15.343628,1811.8213,-206.65387,-232.12363,1895.046,-210.07574,-545.6809,1797.225,-376.43195,-195.8856,1872.5558,-453.79218,-377.16992,1936.0165,-539.1223,-747.6642,2018.2648,-429.85382,-1104.3022,2045.9438,-314.12744,-379.60388,1944.9547,-302.9819,-768.051,1927.733,-202.3375,-1114.1333,2027.7043
1,12107,-387.23224,-202.84563,1873.6199,-359.46194,191.9926,1771.3025,-381.88855,-24.500854,1805.5789,-493.32675,-24.132355,1797.8613,-554.0245,-241.30347,1830.1216,-509.2937,-519.25793,1693.3121,-270.45035,-24.869354,1813.2964,-215.12386,-235.65736,1894.8844,-221.21564,-547.67413,1800.5544,-387.19003,-202.81845,1873.6157,-467.1071,-380.8893,1936.4851,-515.1707,-692.73267,1990.1888,-420.9432,-1053.9221,2048.554,-317.87595,-381.38278,1946.8201,-314.7991,-769.38367,1930.171,-221.63013,-1118.8074,2023.3093
