user,timestamp,comx,comy,comz,headx,heady,headz,neckx,necky,neckz,leftshoulderx,leftshouldery,leftshoulderz,leftelbowx,leftelbowy,leftelbowz,lefthandx,lefthandy,lefthandz,rightshoulderx,rightshouldery,rightshoulderz,rightelbowx,rightelbowy,rightelbowz,righthandx,righthandy,righthandz,torsox,torsoy,torsoz,lefthipx,lefthipy,lefthipz,leftkneex,leftkneey,leftkneez,leftfootx,leftfooty,leftfootz,righthipx,righthipy,righthipz,rightkneex,rightkneey,rightkneez,rightfootx,rightfooty,rightfootz
1,11647,-183.49362,-25.400322,1336.0145,-158.95222,382.31726,1255.8864,-180.17973,154.49646,1298.5906,-317.72318,153.49226,1281.548,-371.57962,-53.459305,1297.0703,-390.1734,-323.28442,1143.5671,-42.636295,155.50066,1315.6332,2.6066132,-60.05191,1381.0737,39.502323,-387.47134,1362.7437,-183.49602,-25.389303,1335.9543,-267.39554,-205.86339,1363.3333,-268.63098,-491.67163,1378.1918,-267.6778,-793.4641,1365.183,-106.229065,-204.68672,1383.303,-105.28394,-494.3199,1407.1273,-96.98639,-828.5448,1386.8978
1,11688,-184.82089,-30.238373,1364.0574,-162.07321,376.81262,1274.5443,-180.62393,146.84125,1317.4562,-304.85394,144.83905,1298.63,-355.35434,-62.40744,1305.1184,-357.69156,-355.6436,1148.5403,-56.393955,148.84346,1336.2823,-8.8067665,-53.238327,1415.8993,26.419529,-382.68658,1389.7812,-184.81572,-30.21943,1363.9478,-263.22876,-208.47633,1399.1917,-272.92746,-460.53333,1519.767,-264.2011,-805.67773,1405.4805,-114.78624,-206.0839,1421.687,-111.81509,-494.72934,1436.9104,-101.91022,-809.60925,1397.7832
1,11734,-186.3776,-37.641045,1376.823,-165.464,366.79626,1293.6217,-181.25897,136.99481,1326.1671,-302.6465,134.46759,1305.1838,-354.568,-66.88016,1312.7758,-351.78635,-417.32007,1072.3662,-59.871418,139.52205,1347.1504,-11.865112,-58.81073,1432.1145,23.045628,-384.59378,1398.1464,-186.37149,-37.612053,1376.7727,-265.96378,-213.76956,1414.5037,-270.05408,-505.90652,1490.243,-266.14093,-815.0521,1431.9263,-117.00426,-210.66829,1440.2529,-114.230736,-504.06287,1452.1976,-102.92932,-807.4698,1411.922
1,11767,-187.95686,-42.59719,1386.9436,-169.46619,354.17383,1312.1035,-182.6954,130.59666,1337.842,-303.7985,128.5656,1317.7009,-358.87634,-82.176895,1314.4277,-346.625,-378.03064,1154.2462,-61.592327,132.62773,1357.9832,-14.398495,-66.12062,1444.13,21.134624,-393.8709,1409.5787,-187.95067,-42.577717,1386.9039,-268.98883,-217.02307,1423.362,-272.81683,-524.5753,1483.6777,-268.5252,-821.2089,1454.1118,-117.423035,-214.48111,1448.5696,-112.45189,-508.9452,1460.0243,-104.51875,-808.31396,1426.1748
1,11809,-189.1511,-57.95132,1401.3965,-172.93883,339.17285,1326.1898,-184.29002,113.43968,1346.247,-306.9562,111.14499,1328.2979,-359.32108,-79.38226,1319.7518,-347.79822,-371.27994,1164.5531,-61.623837,115.734375,1364.196,-15.546383,-85.40372,1454.2533,15.671436,-413.56873,1415.6576,-189.14641,-57.891266,1401.3398,-266.38916,-230.57632,1445.8408,-275.55624,-522.8016,1485.2808,-265.14395,-819.5818,1467.327,-121.61644,-227.8681,1467.0247,-110.32528,-574.58167,1485.2614,-106.87836,-905.9011,1443.0471
1,11848,-192.99872,-60.816097,1414.2043,-174.26541,331.3273,1331.2954,-187.18599,109.899216,1354.4188,-310.96585,111.319275,1346.4633,-361.17905,-85.03172,1336.7527,-343.70358,-373.60895,1181.6354,-63.40615,108.47916,1362.3744,-17.532257,-92.87877,1461.8489,11.864115,-423.52808,1421.4501,-192.98367,-60.804672,1414.154,-272.22827,-230.66595,1469.1687,-273.44702,-523.13416,1474.9122,-266.56335,-821.27,1477.4056,-125.33441,-232.35117,1478.6099,-115.08818,-581.2079,1496.7545,-112.6209,-916.23615,1470.8531
1,11887,-196.93924,-59.553192,1428.2465,-174.54605,325.45856,1333.6324,-191.47772,116.879456,1367.4106,-308.37244,118.4223,1361.4153,-360.9629,-84.54199,1354.9949,-351.91507,-378.4091,1186.7867,-74.58302,115.33661,1373.406,-18.14141,-92.3589,1471.8643,8.000357,-426.27777,1431.5304,-196.92378,-59.558086,1428.1914,-274.12866,-235.04852,1485.2917,-272.8355,-523.0834,1478.4358,-263.0849,-822.6846,1495.3009,-130.611,-236.94275,1492.6526,-111.45437,-550.978,1506.1333,-116.0211,-845.33685,1490.1587
1,11928,-197.85347,-72.523056,1458.3162,-170.63754,311.33783,1357.8757,-193.65823,106.4146,1405.3508,-308.25134,107.7223,1400.6884,-354.05438,-96.62853,1396.8633,-360.5836,-385.46066,1226.3157,-79.06511,105.106895,1410.0133,-26.12453,-102.92368,1508.8607,4.585806,-443.01257,1440.5588,-197.84984,-72.47241,1458.1985,-274.00833,-250.53815,1508.118,-285.8256,-537.9768,1540.9509,-267.81253,-833.44476,1522.3181,-130.07457,-252.1807,1513.9742,-115.93729,-564.631,1521.7494,-117.92986,-848.8735,1505.4335
1,11974,-196.53403,-80.36427,1472.7117,-172.3869,301.60416,1372.5774,-194.17395,98.81605,1423.8204,-310.08102,99.286224,1419.9315,-356.58282,-106.137665,1403.1581,-337.44232,-464.21802,1184.3943,-78.26686,98.34587,1427.7094,-27.280415,-110.66188,1525.3708,3.90695,-443.64948,1444.5328,-196.53917,-80.33344,1472.655,-270.72485,-259.1916,1519.08,-283.63147,-552.88617,1561.7173,-267.9264,-846.0002,1540.8438,-127.08394,-259.7743,1523.8993,-112.351906,-559.475,1516.3992,-120.45673,-850.5475,1524.0457
1,12009,-195.33081,-95.745285,1484.2881,-176.96642,288.63895,1384.892,-194.12352,80.24531,1437.0973,-312.50775,79.68216,1431.9524,-364.95782,-132.76852,1415.8313,-379.25238,-418.7589,1261.1342,-75.739296,80.80846,1442.2422,-22.546932,-113.08339,1532.5676,7.0657215,-437.6872,1446.4701,-195.33553,-95.68508,1484.2427,-269.0184,-271.9602,1528.2385,-277.84488,-571.2053,1559.7242,-269.43054,-856.03735,1556.0577,-124.07667,-271.27072,1534.5376,-113.331505,-623.8363,1522.0851,-122.81586,-962.41016,1543.3575
