user,timestamp,comx,comy,comz,headx,heady,headz,neckx,necky,neckz,leftshoulderx,leftshouldery,leftshoulderz,leftelbowx,leftelbowy,leftelbowz,lefthandx,lefthandy,lefthandz,rightshoulderx,rightshouldery,rightshoulderz,rightelbowx,rightelbowy,rightelbowz,righthandx,righthandy,righthandz,torsox,torsoy,torsoz,lefthipx,lefthipy,lefthipz,leftkneex,leftkneey,leftkneez,leftfootx,leftfooty,leftfootz,righthipx,righthipy,righthipz,rightkneex,rightkneey,rightkneez,rightfootx,rightfooty,rightfootz
1,14997,186.15767,-57.237854,1782.5814,192.70464,411.21606,1821.2526,194.22998,143.68254,1806.9847,43.568657,148.68048,1815.7317,-24.03669,-105.77298,1750.5092,-33.675663,-312.466,1623.834,344.89133,138.6846,1798.2378,452.1759,-151.56958,1769.5107,473.1092,-328.89368,1657.9125,186.15007,-57.22462,1782.6095,75.54716,-254.73076,1764.1864,76.39799,-523.7376,1758.9872,30.655586,-850.81055,1936.1229,280.59314,-261.5328,1752.2821,281.76266,-566.7637,1710.5275,232.45392,-884.3128,1853.8965
1,15036,180.12,-54.30049,1786.9329,193.97545,410.5485,1822.8625,187.83792,145.2857,1820.2307,31.425484,149.59624,1830.5302,-26.846298,-105.30325,1754.0126,-49.44465,-306.9726,1616.4363,344.25037,140.97519,1809.9313,426.89148,-131.29227,1784.806,452.18716,-333.22522,1657.357,180.14355,-54.311913,1786.9159,64.21211,-250.92667,1760.7283,65.78071,-531.6393,1751.8187,27.006832,-855.2397,1925.5715,280.68625,-256.89243,1746.4739,265.30817,-597.1776,1715.2357,233.32266,-892.77136,1851.629
1,15077,179.84354,-56.727554,1787.8263,197.31267,410.26605,1825.3639,187.88309,144.27911,1824.3094,31.276344,147.9497,1838.591,-32.51825,-107.06412,1755.41,-66.74065,-309.0763,1612.4298,344.48987,140.6085,1810.028,414.22406,-125.73271,1786.5701,426.78146,-338.9054,1663.3851,179.84471,-56.718113,1787.8228,69.70463,-255.32224,1760.6471,60.37816,-561.2448,1767.258,31.303164,-872.1992,1918.0664,273.90802,-260.10843,1742.025,258.26028,-605.4393,1708.9918,233.36919,-891.5686,1846.9464
1,15116,174.41281,-61.513664,1790.3102,199.09393,409.77002,1833.1111,183.21301,141.95277,1825.1042,24.621857,146.54605,1838.2573,-49.652924,-115.8804,1769.384,-106.37735,-302.61554,1624.5646,341.8042,137.35951,1811.9512,401.48685,-106.4664,1817.5294,380.4667,-337.67743,1671.1953,174.43404,-61.49493,1790.3004,60.819824,-261.9063,1764.1913,54.035927,-572.5829,1775.2686,30.469683,-875.92957,1924.9337,270.4903,-267.97897,1746.8019,271.85806,-596.7508,1710.662,240.75526,-901.229,1850.4835
1,15156,165.14856,-65.77971,1795.7983,195.00003,409.67532,1833.8666,178.20999,140.85834,1826.2621,19.110077,149.60344,1834.9672,-60.378822,-114.28252,1775.6936,-120.796326,-297.1848,1636.8582,337.3099,132.11322,1817.557,391.27335,-103.32315,1833.0797,365.28177,-346.15833,1683.1438,165.18483,-65.76296,1795.7769,48.157654,-266.66766,1770.982,35.21452,-588.3485,1814.0514,35.892223,-879.0879,1933.3348,256.16165,-278.10083,1759.6012,274.40097,-605.0916,1711.558,246.46542,-912.68744,1845.58
1,15198,157.48486,-67.781746,1798.4636,189.4954,409.83362,1849.6174,169.32823,140.58421,1832.3069,15.874899,148.01973,1840.0916,-74.4733,-115.12108,1793.0822,-133.93591,-297.19348,1657.4519,322.78156,133.1487,1824.5222,385.30637,-102.910355,1839.1881,358.43546,-341.05066,1687.1113,157.51494,-67.77385,1798.4532,39.010895,-270.96225,1770.012,22.073513,-605.17664,1805.3596,40.529884,-889.4498,1927.8397,252.3924,-281.30157,1759.1873,271.27832,-607.4584,1716.8588,249.24644,-916.923,1845.882
1,15236,148.89711,-68.24393,1807.7661,185.39355,408.46045,1857.72,158.43536,141.17395,1845.6113,5.1973476,146.55879,1854.2908,-88.8095,-118.39485,1803.0896,-147.13345,-310.74835,1670.4396,311.6734,135.78911,1836.9319,377.29675,-107.65434,1844.3387,357.2526,-344.29758,1696.0623,148.93077,-68.242096,1807.7297,33.19471,-273.9251,1775.8651,23.615467,-613.0353,1808.0272,43.221706,-897.9611,1927.1864,245.65764,-281.39117,1763.8312,244.88306,-696.52747,1700.2654,247.71077,-1073.5437,1844.9144
1,15277,143.27826,-70.16631,1812.9285,178.38751,407.80475,1862.6234,151.28488,139.30014,1853.9557,-6.4450803,142.98871,1865.8151,-98.28713,-119.0405,1805.8344,-160.40773,-318.1476,1682.8153,309.01486,135.61157,1842.0963,373.9167,-111.49428,1849.8408,360.47913,-345.37,1698.4521,143.30034,-70.1588,1812.9082,29.78049,-277.14975,1779.7957,21.277252,-613.13824,1819.6996,43.575768,-906.75525,1925.465,240.85109,-282.08572,1763.9258,251.24689,-604.11993,1713.4224,246.7258,-938.4413,1839.3204
1,15317,138.70145,-69.26672,1815.623,166.82394,405.67706,1870.7743,147.53726,140.69864,1857.9608,-8.645191,144.64273,1870.926,-104.63719,-118.60019,1810.497,-173.50153,-332.98932,1694.7272,303.7197,136.75456,1844.9956,368.45676,-114.24005,1853.176,365.9245,-345.427,1692.8413,138.7194,-69.27021,1815.6124,25.237652,-276.59598,1781.9525,54.882668,-689.8025,1854.5669,49.46853,-1082.2079,1952.2124,234.56544,-281.88214,1764.5756,253.12798,-608.6275,1714.0872,246.01122,-945.2918,1842.0326
1,15356,121.00222,-51.23522,1830.8628,145.28186,403.2473,1881.2662,124.23575,152.90747,1882.7463,-26.672087,151.09535,1899.0637,-115.05826,-114.38756,1835.0768,-183.51161,-354.53632,1705.6565,275.1436,154.7196,1866.4287,349.2996,-73.87233,1881.2423,372.52905,-312.7015,1708.8632,121.071434,-51.30567,1830.8032,10.323903,-256.8107,1790.4929,34.505257,-621.3285,1829.2855,45.786438,-937.1211,1923.9086,225.49033,-254.22694,1767.2273,249.88074,-559.8432,1689.2676,237.247,-919.13257,1836.547
