user,timestamp,comx,comy,comz,headx,heady,headz,neckx,necky,neckz,leftshoulderx,leftshouldery,leftshoulderz,leftelbowx,leftelbowy,leftelbowz,lefthandx,lefthandy,lefthandz,rightshoulderx,rightshouldery,rightshoulderz,rightelbowx,rightelbowy,rightelbowz,righthandx,righthandy,righthandz,torsox,torsoy,torsoz,lefthipx,lefthipy,lefthipz,leftkneex,leftkneey,leftkneez,leftfootx,leftfooty,leftfootz,righthipx,righthipy,righthipz,rightkneex,rightkneey,rightkneez,rightfootx,rightfooty,rightfootz
1,17209,15.20868,-102.58028,1397.5227,26.718828,276.92108,1362.8494,11.597114,72.349846,1387.2668,-97.95096,70.44943,1393.4503,-157.10556,-128.02779,1401.1775,-222.11894,-364.14368,1361.9161,121.14519,74.25026,1381.0834,177.19556,-94.014084,1451.5021,224.94154,-399.06525,1398.7896,15.206626,-102.562965,1397.4567,-57.831535,-278.80545,1411.9729,-43.192024,-606.548,1456.7213,-61.41845,-924.392,1458.6765,95.46381,-276.14612,1403.3201,106.08233,-606.1955,1379.1013,104.52655,-918.22784,1442.3014
1,17250,17.291405,-106.52445,1407.97,31.755383,277.14606,1386.4902,14.428983,69.451385,1400.3065,-97.29515,67.92392,1406.8817,-160.23735,-133.55043,1423.0509,-277.0033,-413.5456,1340.9161,126.15311,70.97885,1393.7313,176.25162,-118.79047,1462.2643,236.79416,-411.36035,1394.4999,17.28326,-106.50899,1407.9288,-56.525448,-283.5175,1420.0629,-46.764503,-612.9752,1459.934,-62.628937,-931.6358,1470.667,96.80052,-281.42123,1411.0394,107.11282,-612.3631,1386.5743,106.553345,-922.7737,1461.1155
1,17287,21.481228,-115.30351,1426.0873,34.520035,275.89017,1399.4854,18.502861,61.224785,1419.9027,-96.3403,59.788437,1434.0767,-165.13364,-140.51077,1449.6747,-290.7242,-416.2296,1375.093,133.34602,62.661133,1405.7288,180.29335,-130.0862,1457.7753,241.4715,-425.45062,1378.5222,21.46483,-115.26916,1426.0164,-50.184906,-292.6963,1441.3385,-52.75192,-625.6572,1451.9829,-66.567955,-945.1522,1470.4761,99.0385,-290.82993,1422.9215,109.005394,-623.1575,1401.8995,108.96169,-932.8402,1483.793
1,17328,29.707386,-117.95296,1442.1741,49.82026,270.20294,1434.3783,28.662178,61.705307,1439.3379,-81.796425,61.43084,1461.9082,-161.37698,-145.61255,1485.2848,-296.123,-425.32263,1408.5057,139.12077,61.979774,1416.7676,192.16283,-130.87607,1456.4497,252.81897,-426.60126,1372.866,29.675188,-117.94246,1442.111,-42.838333,-297.77292,1459.9078,-50.830845,-565.26196,1462.9115,-60.642025,-885.17163,1495.7123,104.21472,-297.40753,1429.8602,108.793236,-630.562,1404.8102,108.28457,-941.0331,1487.4253
1,17366,38.089363,-122.61412,1449.5686,59.89702,267.706,1452.794,39.852413,56.205353,1448.5507,-71.698784,57.462234,1473.2217,-152.5351,-150.51677,1504.6511,-284.9637,-433.02417,1415.128,151.40361,54.94847,1423.8796,207.2121,-138.72826,1450.0048,253.01791,-440.15393,1360.564,38.056496,-122.59589,1449.5394,-37.97752,-300.56067,1466.9469,-53.52882,-635.4535,1472.6844,-57.35688,-954.72485,1517.3739,110.49867,-302.23358,1434.1095,110.501686,-636.7616,1411.3284,109.1947,-945.82935,1503.0964
1,17410,46.969887,-127.10109,1458.1337,66.87584,266.09195,1462.4805,47.74028,51.26197,1453.6973,-65.00118,52.5009,1483.2639,-145.59744,-155.96498,1515.5472,-269.74835,-444.47363,1412.9882,160.48174,50.02304,1424.1306,223.29173,-149.52411,1452.56,251.77032,-446.4492,1351.6266,46.93507,-127.08349,1458.1001,-28.836557,-304.60513,1482.1631,-55.007805,-639.9564,1480.6805,-54.75166,-959.17737,1532.7311,121.096275,-306.25275,1442.8428,111.98536,-641.4877,1416.7252,110.650986,-949.8668,1514.2538
1,17450,58.337006,-130.307,1477.6611,76.12106,267.4835,1472.2007,59.569393,44.854523,1473.4541,-52.131443,46.620804,1513.8184,-135.40466,-159.28519,1520.0526,-247.58936,-449.1672,1406.7533,171.27023,43.08824,1433.0898,240.31952,-154.78854,1468.0332,249.06006,-444.32874,1349.4507,58.292465,-130.2944,1477.5847,-18.979435,-304.24164,1509.1769,-53.75268,-639.8989,1492.9478,-50.320362,-959.713,1549.8206,133.01051,-306.64502,1454.2538,131.5487,-644.37537,1445.6252,110.792244,-958.5558,1525.5452
1,17487,65.87067,-128.76538,1487.7395,86.072075,267.85114,1480.0406,66.96016,44.18756,1480.4911,-45.667797,46.66279,1522.3947,-125.58934,-162.514,1522.9266,-220.68802,-454.0958,1392.5435,179.58812,41.71234,1438.5875,251.13306,-157.25456,1478.2742,248.54102,-436.8683,1354.1877,65.841064,-128.77133,1487.6998,-12.080151,-300.04236,1523.483,-50.761116,-636.5143,1506.9304,-45.366585,-957.1279,1565.9778,141.5241,-303.4181,1466.3341,134.47101,-642.21765,1454.1411,110.33995,-957.9745,1531.7561
1,17526,72.096886,-128.28763,1495.5107,95.64288,267.90613,1487.687,71.33652,43.118134,1480.7507,-42.351585,45.96685,1519.5815,-118.300804,-162.45233,1522.4437,-191.50394,-462.72714,1374.9963,185.02463,40.269424,1441.9199,258.39447,-158.01556,1489.2087,248.9924,-440.51877,1359.1592,72.07245,-128.28952,1495.4802,-3.5937514,-297.78275,1536.3053,-41.51992,-635.63495,1547.1705,-40.819798,-960.58136,1584.3318,149.21051,-301.6116,1484.1141,134.75842,-640.4943,1458.6156,110.926094,-956.5133,1539.4594
1,17566,81.493385,-127.00787,1509.6969,102.08609,267.4375,1489.5211,82.33751,45.385834,1494.0479,-38.2443,48.13571,1517.6377,-104.497284,-161.55177,1522.3778,-138.087,-451.07367,1355.5996,202.91933,42.635956,1470.458,260.98688,-163.70805,1495.7074,256.48865,-442.81494,1384.4373,81.45658,-127.01288,1509.6415,2.685691,-297.6353,1540.473,-34.9248,-636.17957,1562.5385,-30.031261,-962.61707,1596.2731,158.4656,-301.18787,1509.9972,162.47829,-642.4816,1514.0106,115.95819,-964.6442,1556.0891
