user,timestamp,comx,comy,comz,headx,heady,headz,neckx,necky,neckz,leftshoulderx,leftshouldery,leftshoulderz,leftelbowx,leftelbowy,leftelbowz,lefthandx,lefthandy,lefthandz,rightshoulderx,rightshouldery,rightshoulderz,rightelbowx,rightelbowy,rightelbowz,righthandx,righthandy,righthandz,torsox,torsoy,torsoz,lefthipx,lefthipy,lefthipz,leftkneex,leftkneey,leftkneez,leftfootx,leftfooty,leftfootz,righthipx,righthipy,righthipz,rightkneex,rightkneey,rightkneez,rightfootx,rightfooty,rightfootz
1,18595,-9.875895,-41.425446,1654.0352,9.032824,367.6705,1615.0665,-2.0386643,136.8733,1656.8975,-136.26807,142.73705,1660.0018,-248.20541,148.405,1487.6315,-133.5607,314.11133,1639.1377,132.19073,131.00957,1653.7931,182.12149,-74.24194,1687.5258,180.28558,-364.44806,1589.2521,-9.894367,-41.42503,1654.0076,-105.71084,-215.88086,1653.152,-127.15436,-594.7236,1682.7664,-114.84437,-924.46497,1751.8538,70.2107,-223.56589,1649.0834,77.43207,-570.2766,1626.3759,72.55339,-924.64355,1667.047
1,18635,-1.8892708,-43.373734,1659.6696,16.500914,366.49683,1626.5231,5.7190228,136.40353,1661.3337,-132.82709,142.28128,1662.3945,-249.47424,152.72037,1490.523,-130.01004,311.69983,1643.8401,144.2651,130.52576,1660.273,185.67545,-74.9946,1691.0023,197.30719,-344.16602,1614.7826,-1.9205407,-43.366127,1659.6475,-103.52593,-219.14932,1658.6807,-127.16316,-597.7553,1684.9307,-113.012794,-930.331,1757.0054,84.40572,-227.12224,1657.2417,84.03948,-577.871,1629.2417,75.10917,-913.07776,1674.2404
1,18676,6.0482197,-44.165886,1665.8474,21.575644,367.14215,1635.4509,12.595066,134.46185,1665.1747,-123.99013,139.50076,1667.6688,-250.63806,166.54527,1504.0968,-88.430756,178.50635,1694.833,149.18025,129.42296,1662.6805,194.29195,-74.75354,1692.0458,218.71526,-348.04095,1632.9205,6.0170918,-44.16276,1665.8232,-95.11369,-219.29913,1668.1984,-108.07325,-575.84247,1723.767,-111.93577,-932.8789,1768.8364,93.99193,-226.27562,1664.7452,102.757416,-578.05774,1657.2146,84.139084,-914.875,1684.5161
1,18716,19.178387,-48.9281,1666.4214,30.459848,366.45508,1646.3765,23.161743,133.59732,1671.0826,-116.62311,136.7384,1669.0947,-235.47537,168.49376,1525.5332,-113.52639,301.24994,1642.9728,162.94661,130.45622,1673.0706,207.36115,-72.766556,1697.9259,228.20471,-340.12122,1637.6879,19.126976,-48.90949,1666.4191,-72.95355,-229.43784,1660.5033,-105.189835,-572.7901,1728.4333,-109.12612,-930.53674,1780.527,103.13797,-233.39476,1663.0077,113.99867,-585.18854,1662.5884,91.32323,-921.82104,1688.9634
1,18753,30.820618,-49.421722,1672.3193,36.576054,365.69476,1653.2114,34.000282,130.98404,1677.8002,-104.17768,133.35315,1681.1207,-228.94562,147.75645,1547.9697,-98.92995,329.73172,1681.5669,172.17824,128.61494,1674.4796,222.6056,-70.82944,1702.4806,245.08095,-346.3921,1637.2673,30.774939,-49.419716,1672.2963,-51.66923,-228.46524,1668.696,-85.25328,-582.45667,1728.0367,-106.11534,-932.4878,1785.0626,106.768425,-231.1817,1664.8887,127.94181,-598.41406,1663.4036,102.338554,-925.851,1699.0557
1,18792,40.23166,-50.530357,1675.3063,42.509697,366.6526,1660.1942,45.04928,128.3147,1683.8767,-96.361015,132.08708,1685.255,-205.87717,151.53389,1535.1553,-88.12246,324.51685,1681.5023,186.45956,124.54231,1682.4984,242.61937,-72.77887,1717.1658,256.11972,-338.90747,1641.3723,40.19472,-50.52602,1675.2946,-45.922623,-227.1989,1667.5044,-71.4562,-580.24274,1705.886,-103.770096,-930.75024,1788.9907,116.60294,-231.53458,1665.9204,142.68143,-582.4411,1658.2692,112.18474,-915.7576,1708.2548
1,18832,65.93141,-51.063393,1688.7395,58.08017,370.0321,1671.0227,62.888992,125.76514,1700.7874,-70.388885,122.79828,1711.7399,-190.10951,147.39207,1528.8241,-65.066216,326.77145,1693.8866,196.16689,128.732,1689.8348,260.87476,-70.34465,1732.1754,291.13092,-369.88763,1644.4308,65.83088,-51.061295,1688.687,-12.919389,-229.70625,1683.3,-31.61105,-576.9688,1740.938,-82.98985,-909.10693,1784.897,150.46492,-226.0692,1669.8733,157.77017,-591.42456,1645.1573,119.13284,-930.0606,1709.9795
1,18874,76.22537,-54.077137,1686.7231,73.14326,370.4177,1680.5435,75.05346,120.45543,1694.9175,-54.3756,119.092285,1706.0908,-181.58745,152.38103,1532.895,-44.511154,325.70505,1687.3926,204.48253,121.81857,1683.7441,265.5855,-75.92346,1732.3882,299.13074,-353.2,1633.0128,76.18477,-54.065353,1686.7308,-1.2726007,-229.41383,1685.3286,-32.7392,-585.9281,1738.8976,-78.771965,-937.32715,1787.0087,155.90474,-227.75844,1671.7598,181.52167,-605.0433,1652.0299,125.774994,-933.7007,1725.3048
1,18915,83.778824,-54.327816,1687.2692,83.01492,368.99277,1682.6216,83.12653,120.80723,1696.4216,-47.995766,119.5417,1711.7141,-170.57938,153.14821,1537.2761,-38.0683,329.5805,1695.34,214.24884,122.072754,1681.1292,272.60944,-74.55702,1736.484,316.6877,-359.41895,1645.1678,83.74916,-54.32679,1687.2671,4.7854,-230.22894,1687.3945,-30.342922,-585.25574,1737.6599,-70.118515,-935.0051,1781.1096,163.95816,-228.69269,1668.8306,179.24403,-599.8911,1646.12,131.21373,-934.3588,1737.0681
1,18956,93.22208,-52.08161,1689.0254,88.96719,369.2012,1685.7588,95.61788,123.845764,1698.5819,-39.770832,125.02396,1711.3481,-163.76341,153.45923,1542.4423,-29.023682,313.20563,1683.5553,231.0066,122.66757,1685.8157,281.5259,-74.548355,1736.1736,324.66183,-353.72784,1630.5721,93.185074,-52.090378,1689.0186,8.531735,-227.311,1687.208,-27.488369,-584.82837,1733.8152,-64.78519,-935.19354,1774.6577,172.9728,-228.74203,1671.7024,182.94232,-595.1432,1642.2673,144.53752,-933.17896,1753.5997
1,18999,107.38302,-52.801495,1698.4312,101.581436,367.19666,1700.7375,117.48311,121.91047,1717.4578,-22.967316,129.85536,1719.4672,-139.19319,159.15868,1567.0907,-16.273865,302.25543,1698.9684,257.93353,113.965576,1715.4484,308.09927,-82.97827,1742.0046,338.5999,-353.6657,1611.1321,107.32756,-52.798714,1698.3944,13.761886,-222.78961,1680.5244,-3.5441847,-579.26685,1698.6702,-52.39993,-929.99695,1775.3478,180.58214,-232.22618,1678.1377,189.77989,-597.23755,1650.6836,153.06209,-939.4153,1773.3344
1,19033,117.3297,-51.277786,1698.6798,116.06328,364.0502,1711.817,125.12886,124.322266,1717.605,-12.609087,130.07703,1721.2535,-125.27787,159.49846,1547.9536,-6.623352,321.42416,1728.7178,262.8668,118.56751,1713.9564,315.9212,-78.55987,1732.6327,342.4751,-356.1413,1606.4529,117.29063,-51.283722,1698.6787,22.284357,-223.24779,1682.0614,-8.247082,-566.62854,1723.7003,-45.97816,-929.93665,1784.1481,196.62044,-230.53163,1677.4435,200.18274,-596.08673,1669.1708,159.31644,-938.6315,1783.5155
1,19072,121.64758,-49.964996,1699.1329,125.453896,361.498,1712.0237,129.57799,125.68444,1717.7896,-7.344904,131.24138,1723.7966,-119.8131,159.53275,1556.3569,-5.4505234,314.1194,1725.164,266.5009,120.1275,1711.7825,320.61227,-78.04431,1725.8505,345.50336,-355.00305,1600.2507,121.63056,-49.970146,1699.1311,27.550005,-222.12907,1684.2515,-4.523142,-570.19293,1720.9264,-37.323692,-930.57965,1794.7725,199.81625,-229.12039,1676.6938,201.1123,-597.05634,1665.6556,164.5796,-940.68024,1791.3546
1,19112,129.0409,-50.77619,1705.4224,131.75238,360.45013,1711.153,136.41032,124.33415,1727.8372,4.384918,128.01067,1742.6766,-114.48471,157.90202,1561.6146,4.660881,325.25037,1731.2876,268.43573,120.65762,1712.9977,327.6768,-79.45969,1726.696,347.79538,-358.5604,1601.5035,129.01196,-50.773045,1705.3978,36.810402,-223.51872,1692.4902,-2.0771332,-571.36804,1722.5607,-24.343166,-932.7228,1799.495,206.4168,-228.24176,1673.4268,210.97717,-597.45703,1664.7251,168.8766,-942.8441,1791.1361
1,19155,132.96652,-50.46405,1704.1848,139.58244,360.27625,1708.0044,140.13611,125.59383,1724.1241,7.019853,129.45895,1737.967,-112.34429,158.65584,1567.2521,15.035782,344.40027,1743.5521,273.25235,121.7287,1710.2812,333.18338,-80.17868,1721.4541,349.16733,-358.1758,1597.0703,132.95108,-50.465256,1704.1896,42.215378,-224.09839,1692.9436,4.7269135,-576.2566,1720.7626,-9.781391,-933.3915,1805.4663,209.31673,-228.95029,1675.5664,215.02402,-599.11743,1671.6862,173.05566,-945.57166,1793.1877
1,19194,134.70328,-50.186584,1703.065,140.75089,360.61877,1707.8036,141.34132,126.914185,1722.4224,8.4417515,130.543,1734.8458,-110.086525,150.67001,1577.615,11.126007,339.37872,1730.3912,274.2409,123.285355,1709.9989,336.42136,-76.05144,1719.3906,351.6895,-357.601,1595.8225,134.69643,-50.18767,1703.0693,44.942,-225.02022,1691.4854,8.691338,-579.6949,1720.5399,2.4969392,-935.38556,1810.7522,211.16107,-229.55884,1675.9473,217.85593,-583.8325,1677.7354,182.0399,-905.25696,1784.9218
1,19234,136.30638,-51.49603,1691.8582,144.77617,361.5843,1706.2101,142.92303,123.871735,1708.4418,8.487299,127.694084,1721.7467,-105.81805,128.03104,1529.7263,11.499023,330.1969,1708.9293,277.35876,120.04939,1695.1368,334.6764,-90.7314,1713.1584,350.70114,-361.98462,1584.1873,136.3001,-51.490917,1691.902,48.137505,-224.53519,1683.4321,14.513565,-577.9806,1729.8785,-2.9120865,-934.4208,1819.305,211.21681,-229.17195,1667.2922,214.93533,-583.8553,1665.5189,184.78027,-904.66833,1777.2988
1,19272,137.46613,-49.95836,1684.6482,147.10938,362.52362,1704.4875,145.81566,124.9436,1700.1345,10.038818,130.15944,1714.4961,-103.318245,128.90938,1530.4152,7.3187027,328.66296,1687.4537,281.5925,119.72776,1685.773,331.04507,-96.85494,1704.6478,346.04636,-359.66495,1568.0284,137.46156,-49.964344,1684.6765,46.60196,-221.70285,1677.9453,16.803051,-576.96655,1733.469,0.022348404,-935.3405,1820.4509,211.61298,-228.04172,1660.4917,207.40096,-594.136,1640.8722,184.78305,-920.78284,1771.5481
