user,timestamp,comx,comy,comz,headx,heady,headz,neckx,necky,neckz,leftshoulderx,leftshouldery,leftshoulderz,leftelbowx,leftelbowy,leftelbowz,lefthandx,lefthandy,lefthandz,rightshoulderx,rightshouldery,rightshoulderz,rightelbowx,rightelbowy,rightelbowz,righthandx,righthandy,righthandz,torsox,torsoy,torsoz,lefthipx,lefthipy,lefthipz,leftkneex,leftkneey,leftkneez,leftfootx,leftfooty,leftfootz,righthipx,righthipy,righthipz,rightkneex,rightkneey,rightkneez,rightfootx,rightfooty,rightfootz
1,14993,36.71112,117.9565,1223.595,43.545383,493.70883,1186.3647,25.590078,297.34186,1218.0632,-111.97765,290.23676,1266.2698,-151.96982,77.60593,1227.8779,-17.15512,-176.76772,1046.3182,163.15782,304.44696,1169.8567,222.44998,78.32535,1163.5487,121.914406,-161.4229,1078.8615,36.715645,117.92535,1223.3684,-28.31658,-65.42456,1255.3608,-71.68834,-364.54034,1321.6938,-48.55476,-703.2476,1275.3704,123.999,-57.557755,1201.9863,133.76328,-412.67548,1222.8132,108.34081,-748.1017,1160.1506
1,15034,37.419456,117.26419,1243.3494,45.740112,491.38794,1189.349,27.97949,295.3414,1231.206,-105.205734,291.19788,1274.225,-148.76105,75.82553,1239.3281,-9.835983,-184.8825,1069.2202,161.16472,299.48492,1188.1871,218.40894,73.41789,1180.8108,117.15462,-165.65546,1095.3898,37.416702,117.266785,1243.2715,-29.583387,-63.18586,1280.0262,-69.5692,-360.79764,1306.2369,-43.964413,-700.9324,1287.7445,123.291214,-58.429802,1230.6476,128.20975,-415.20755,1222.2102,108.868576,-754.0902,1171.6162
1,15074,34.801964,113.623055,1263.372,27.91523,499.90933,1202.4796,25.1424,291.4696,1251.8447,-104.7369,286.1704,1279.2308,-144.20709,50.37039,1237.5928,0.003753662,-197.01791,1089.4318,155.02171,296.7688,1224.4586,212.16194,65.72597,1201.5464,112.39127,-169.58661,1108.2545,34.812176,113.6373,1263.2935,-33.55517,-67.37899,1291.197,-47.041393,-377.09067,1293.0338,-43.002533,-699.3148,1297.76,122.519066,-61.011024,1258.2874,129.68063,-363.43665,1247.0968,111.60272,-682.5604,1189.4088
1,15111,28.332254,107.97356,1285.3048,21.253761,503.33948,1214.1775,18.342072,286.63275,1269.9442,-110.28429,281.65573,1296.0776,-141.18625,55.58957,1250.1042,7.888748,-193.92905,1114.937,146.96841,291.60977,1243.8108,204.30579,59.363953,1220.1667,109.06496,-178.51883,1116.3275,28.357567,107.99569,1285.2188,-40.292557,-73.68524,1316.4761,-69.45468,-383.25568,1324.2288,-38.943356,-689.0307,1299.9088,117.03868,-67.59752,1284.5105,125.896805,-363.9765,1267.8976,112.582214,-690.5719,1213.5696
1,15150,26.83433,104.5857,1303.3109,21.033886,505.30768,1223.686,14.857407,284.3537,1290.9427,-112.915565,277.6896,1318.0364,-137.30496,49.7883,1253.4657,11.328644,-197.86395,1136.911,142.63037,291.01782,1263.8491,199.5025,57.72876,1244.5363,103.41912,-176.90569,1129.7,26.84028,104.59902,1303.2402,-40.293373,-79.28204,1332.314,-72.968796,-381.81635,1336.744,-33.973217,-676.7414,1308.497,117.939674,-71.02928,1298.7615,125.68178,-431.70612,1276.8794,119.0973,-776.04407,1230.4071
1,15193,28.201185,102.12642,1320.519,31.596869,502.31076,1254.7203,15.892965,283.9629,1309.2156,-111.318085,277.41824,1342.5974,-134.40489,48.34857,1259.9402,12.277374,-198.14885,1154.0029,143.10402,290.5075,1275.8337,201.28781,51.33345,1268.3395,99.306305,-179.48924,1142.9366,28.195871,102.13608,1320.4515,-38.187305,-83.738884,1352.3358,-63.427883,-370.47543,1344.3541,-33.087944,-662.8453,1319.9409,119.18486,-75.642555,1311.0392,130.12263,-438.07895,1284.2452,123.55376,-786.2075,1252.8193
1,15230,35.683945,111.51897,1358.8718,40.16342,514.79474,1294.0455,27.10884,290.46594,1347.8271,-103.96457,286.27106,1381.726,-133.77332,56.544525,1301.4755,16.489319,-192.67859,1181.1641,158.18225,294.66086,1313.9283,203.80754,48.002396,1281.5164,96.77232,-178.28993,1168.7539,35.654694,111.4823,1358.7217,-38.28929,-70.14138,1390.9502,-69.93213,-375.17093,1396.7806,-23.444626,-666.062,1344.1729,126.690384,-64.861336,1348.2822,132.46469,-399.0156,1301.0052,126.0021,-721.79004,1272.4435
1,15274,39.879036,113.11943,1375.4078,37.42356,520.79816,1317.3951,32.115883,292.66855,1370.65,-101.44907,287.7141,1401.5676,-131.43274,51.837753,1308.1609,15.949158,-192.40382,1187.5742,165.68085,297.623,1339.7324,208.79532,48.22319,1302.4705,100.15791,-175.30563,1186.7653,39.862534,113.11305,1375.3427,-36.707863,-69.57008,1399.553,-64.95857,-378.16156,1405.9012,-19.962936,-680.36835,1379.4825,131.92622,-63.314804,1360.5176,139.70567,-397.76886,1311.3491,129.0846,-728.36316,1279.4492
1,15311,44.703312,113.36041,1389.2534,36.0896,524.32983,1339.8252,38.74121,293.94177,1391.4613,-96.364914,289.12152,1421.2953,-127.28089,48.65976,1314.9105,19.35456,-197.65529,1194.9866,173.84734,298.76202,1361.6273,214.68314,51.95964,1318.3237,105.97908,-169.84477,1198.6278,44.684402,113.35944,1389.1991,-35.097893,-70.28136,1405.8667,-50.586895,-401.9961,1420.7714,-17.335453,-695.53876,1396.3112,136.35307,-64.16443,1368.0071,146.21129,-396.08636,1314.6178,138.85367,-729.593,1291.3171
1,15353,49.817577,112.19551,1396.1282,46.730194,527.9334,1354.7506,46.540653,293.77936,1400.2268,-91.16395,290.7503,1424.8342,-110.72566,46.361603,1329.7029,23.026413,-196.79002,1206.4698,184.24527,296.80838,1375.6194,221.10657,50.76927,1325.8145,109.95596,-173.83012,1205.5747,49.797527,112.20005,1396.1011,-33.599514,-71.28534,1407.4602,-36.429245,-379.03775,1401.908,-16.872046,-703.3959,1403.3694,139.70831,-67.47316,1376.4905,157.5438,-398.45325,1324.6929,148.18251,-732.3856,1306.8141
